epoch,out_0,out_1,step,train_loss
24,-0.34998196363449097,-0.5468988418579102,49,2.3928961753845215
49,-0.2626357078552246,-0.43585026264190674,99,2.0616660118103027
74,-0.1880994737148285,-0.33025774359703064,149,1.7695857286453247
99,-0.12800075113773346,-0.24136848747730255,199,1.5409959554672241
124,-0.08012577891349792,-0.17057925462722778,249,1.3702555894851685
149,-0.04133147373795509,-0.1145269125699997,299,1.2421700954437256
174,-0.008960401639342308,-0.06928686052560806,349,1.1433743238449097
199,0.0189281664788723,-0.03171982988715172,399,1.0644457340240479
224,0.04369616508483887,0.0004389408277347684,449,0.9991223216056824
249,0.06629807502031326,0.028782743960618973,499,0.9432629942893982
274,0.08740772306919098,0.05443210154771805,549,0.8940986394882202
299,0.10750273615121841,0.07817918807268143,599,0.8497536182403564
324,0.12691852450370789,0.10058393329381943,649,0.8089492917060852
349,0.1458841860294342,0.12203776836395264,699,0.7708176970481873
374,0.16454552114009857,0.14280560612678528,749,0.7347822785377502
399,0.1829826533794403,0.16305531561374664,799,0.7004764080047607
424,0.20122307538986206,0.18287985026836395,849,0.667685329914093
449,0.21925267577171326,0.20231355726718903,899,0.636303722858429
474,0.23702582716941833,0.22134685516357422,949,0.6063007116317749
499,0.254474937915802,0.23993892967700958,999,0.5776928663253784
524,0.27151909470558167,0.2580285966396332,1049,0.5505215525627136
549,0.28807201981544495,0.27554410696029663,1099,0.5248363614082336
574,0.30404987931251526,0.29241234064102173,1149,0.5006803274154663
599,0.31937626004219055,0.30856478214263916,1199,0.47808268666267395
624,0.33398717641830444,0.3239435851573944,1249,0.45705223083496094
649,0.3478337228298187,0.3385046720504761,1299,0.4375760853290558
674,0.3608827590942383,0.35221853852272034,1349,0.4196208715438843
699,0.3731170892715454,0.36507144570350647,1399,0.4031343162059784
724,0.3845343291759491,0.3770640194416046,1449,0.38804930448532104
749,0.3951452374458313,0.38820964097976685,1499,0.3742874562740326
774,0.40497079491615295,0.3985319137573242,1549,0.3617638647556305
799,0.41404032707214355,0.4080628454685211,1599,0.35038962960243225
824,0.42238932847976685,0.41684025526046753,1649,0.3400753140449524
849,0.43005675077438354,0.42490583658218384,1699,0.3307332992553711
874,0.43708452582359314,0.4323035478591919,1749,0.32227927446365356
899,0.4435151517391205,0.43907827138900757,1799,0.31463319063186646
924,0.4493907690048218,0.445274293422699,1849,0.3077206313610077
949,0.4547528922557831,0.4509350657463074,1899,0.3014723062515259
974,0.45964139699935913,0.45610228180885315,1949,0.2958247661590576
999,0.46409404277801514,0.4608156681060791,1999,0.29071974754333496
1024,0.46814683079719543,0.465112566947937,2049,0.28610455989837646
1049,0.47183310985565186,0.4690280258655548,2099,0.2819312810897827
1074,0.47518390417099,0.47259441018104553,2149,0.27815669775009155
1099,0.47822827100753784,0.47584182024002075,2199,0.2747417986392975
1124,0.4809929430484772,0.4787983000278473,2249,0.2716512382030487
1149,0.48350220918655396,0.48148927092552185,2299,0.2688533365726471
1174,0.48577880859375,0.48393821716308594,2349,0.26631975173950195
1199,0.48784318566322327,0.486166387796402,2399,0.2640250325202942
1224,0.4897140860557556,0.4881938099861145,2449,0.26194557547569275
1249,0.49140894412994385,0.4900381565093994,2499,0.2600610852241516
1274,0.4929434657096863,0.4917159974575043,2549,0.2583526074886322
1299,0.4943320155143738,0.49324193596839905,2599,0.2568037807941437
1324,0.49558761715888977,0.4946300685405731,2649,0.2553987503051758
1349,0.4967223107814789,0.49589264392852783,2699,0.2541242241859436
1374,0.4977470338344574,0.49704083800315857,2749,0.252967894077301
1399,0.49867141246795654,0.4980851113796234,2799,0.2519185245037079
1424,0.4995046555995941,0.4990348219871521,2849,0.2509661316871643
1449,0.5002549290657043,0.49989843368530273,2899,0.25010159611701965
1474,0.5009296536445618,0.5006835460662842,2949,0.24931693077087402
1499,0.5015356540679932,0.5013976693153381,2999,0.24860429763793945
1524,0.5020791292190552,0.5020470023155212,3049,0.24795719981193542
1549,0.5025656223297119,0.5026371479034424,3099,0.24736981093883514
1574,0.5030003786087036,0.5031738877296448,3149,0.24683618545532227
1599,0.503387987613678,0.5036617517471313,3199,0.24635165929794312
1624,0.5037326812744141,0.5041054487228394,3249,0.24591141939163208
1649,0.5040382146835327,0.5045086145401001,3299,0.2455117106437683
1674,0.5043082237243652,0.504875123500824,3349,0.2451486587524414
1699,0.5045458674430847,0.5052083134651184,3399,0.2448188215494156
1724,0.5047540068626404,0.5055111646652222,3449,0.2445192188024521
1749,0.5049352049827576,0.5057864189147949,3499,0.24424706399440765
1774,0.5050919055938721,0.5060364603996277,3549,0.24399998784065247
1799,0.5052264332771301,0.506263792514801,3599,0.24377544224262238
1824,0.5053405165672302,0.5064703822135925,3649,0.24357149004936218
1849,0.5054360628128052,0.5066582560539246,3699,0.24338608980178833
1874,0.5055148601531982,0.5068289041519165,3749,0.24321773648262024
1899,0.5055782198905945,0.5069841146469116,3799,0.24306467175483704
1924,0.5056275725364685,0.5071250796318054,3849,0.24292568862438202
1949,0.5056639909744263,0.5072532296180725,3899,0.24279938638210297
1974,0.5056886076927185,0.5073695778846741,3949,0.2426847368478775
1999,0.5057024359703064,0.5074753165245056,3999,0.2425805777311325
