x,y
0.0,0.40593213
0.001001001,0.58645403
0.002002002,0.3635467
0.003003003,0.42207855
0.004004004,0.49106446
0.005005005,0.6012421
0.006006006,0.5738202
0.007007007,0.61752707
0.008008008,0.33403435
0.009009009,0.49916017
0.01001001,0.49398336
0.011011011,0.5825281
0.012012012,0.5427701
0.013013013,0.488757
0.014014014,0.6090087
0.015015014,0.5964713
0.016016016,0.51104367
0.017017016,0.8589099
0.018018018,0.55676496
0.019019019,0.6019915
0.02002002,0.51864326
0.021021022,0.52652144
0.022022022,0.734072
0.023023022,0.65536785
0.024024025,0.53179514
0.025025025,0.67643523
0.026026025,0.5786097
0.027027026,0.5129547
0.028028028,0.61796093
0.029029028,0.67976063
0.030030029,0.71420133
0.031031031,0.4855
0.03203203,0.9752269
0.033033032,0.64005667
0.034034032,0.6435788
0.035035033,0.5373578
0.036036037,0.66462374
0.037037037,0.6015825
0.038038038,0.78516483
0.039039038,0.6652269
0.04004004,0.7273885
0.04104104,0.6014716
0.042042043,0.68695545
0.043043043,0.6710458
0.044044044,0.5097202
0.045045044,0.57588726
0.046046045,0.66292596
0.047047045,0.5681333
0.04804805,0.7267316
0.04904905,0.5257489
0.05005005,0.7361942
0.05105105,0.7565677
0.05205205,0.6754898
0.05305305,0.7965912
0.05405405,0.6814138
0.055055056,0.58681196
0.056056056,0.7523644
0.057057057,0.5422307
0.058058057,0.60346925
0.059059057,0.6614486
0.060060058,0.50914025
0.061061062,0.76556754
0.062062062,0.47858387
0.06306306,0.5852802
0.06406406,0.6708069
0.06506506,0.65225965
0.066066064,0.71368295
0.067067064,0.68395483
0.068068065,0.6348146
0.069069065,0.48341703
0.070070066,0.7141808
0.07107107,0.48689747
0.072072074,0.8689722
0.073073074,0.58515745
0.074074075,0.58355
0.075075075,0.7461882
0.076076075,0.7377275
0.077077076,0.60370505
0.078078076,0.6886521
0.07907908,0.64093655
0.08008008,0.6528513
0.08108108,0.65228736
0.08208208,0.63616055
0.08308308,0.6695883
0.084084086,0.58643067
0.08508509,0.65958345
0.08608609,0.6220499
0.08708709,0.8749986
0.08808809,0.690124
0.08908909,0.6009515
0.09009009,0.57163125
0.09109109,0.61329955
0.09209209,0.7598168
0.09309309,0.5053911
0.09409409,0.5462002
0.09509509,0.6974291
0.0960961,0.66758925
0.0970971,0.7515241
0.0980981,0.48721996
0.0990991,0.47734648
0.1001001,0.74056697
0.1011011,0.62292516
0.1021021,0.3283251
0.1031031,0.5786052
0.1041041,0.47856757
0.1051051,0.6635489
0.1061061,0.57773805
0.1071071,0.58786905
0.1081081,0.59778935
0.10910911,0.43589193
0.11011011,0.71439105
0.11111111,0.60418135
0.11211211,0.5789974
0.11311311,0.67397755
0.11411411,0.69131845
0.11511511,0.4279444
0.116116114,0.48496822
0.117117114,0.5788106
0.118118115,0.5193851
0.119119115,0.51681095
0.120120116,0.45843104
0.121121116,0.49470904
0.122122124,0.62587965
0.123123124,0.5362815
0.124124125,0.52726823
0.12512513,0.47402024
0.12612613,0.42973983
0.12712713,0.5488142
0.12812813,0.5428079
0.12912913,0.5573464
0.13013013,0.53600395
0.13113113,0.35657126
0.13213213,0.56412077
0.13313313,0.4340484
0.13413413,0.48194999
0.13513513,0.4206937
0.13613613,0.43760115
0.13713713,0.670538
0.13813813,0.52940416
0.13913913,0.4849722
0.14014013,0.45533365
0.14114115,0.4300426
0.14214215,0.49209124
0.14314315,0.44423068
0.14414415,0.5962751
0.14514515,0.61002946
0.14614615,0.3355505
0.14714715,0.48180267
0.14814815,0.35911468
0.14914915,0.565388
0.15015015,0.6950171
0.15115115,0.3457048
0.15215215,0.5210249
0.15315315,0.72045934
0.15415415,0.39584047
0.15515515,0.28996515
0.15615615,0.50134885
0.15715715,0.5474297
0.15815815,0.544352
0.15915915,0.6008104
0.16016015,0.48373693
0.16116115,0.44751614
0.16216215,0.35308105
0.16316316,0.43339866
0.16416416,0.3993626
0.16516516,0.53553504
0.16616616,0.3744626
0.16716717,0.4451403
0.16816817,0.31886393
0.16916917,0.35993457
0.17017017,0.4863732
0.17117117,0.552398
0.17217217,0.4010929
0.17317317,0.39910817
0.17417417,0.5744885
0.17517518,0.52545077
0.17617618,0.3825902
0.17717718,0.66892916
0.17817818,0.5139724
0.17917918,0.44470486
0.18018018,0.43156257
0.18118118,0.560131
0.18218218,0.3162213
0.18318318,0.4179555
0.18418418,0.44843644
0.18518518,0.5394829
0.18618618,0.29855222
0.18718718,0.31816864
0.18818818,0.52042514
0.18918918,0.41201812
0.19019018,0.5924054
0.19119118,0.32907513
0.1921922,0.63396287
0.1931932,0.45482293
0.1941942,0.44244894
0.1951952,0.42961344
0.1961962,0.48219737
0.1971972,0.5238739
0.1981982,0.5596548
0.1991992,0.46547553
0.2002002,0.44063544
0.2012012,0.56086874
0.2022022,0.45546916
0.2032032,0.426706
0.2042042,0.46569335
0.2052052,0.42627174
0.2062062,0.40236214
0.2072072,0.44236758
0.2082082,0.56845325
0.2092092,0.45556635
0.2102102,0.3533824
0.2112112,0.55079657
0.2122122,0.6703814
0.2132132,0.48390257
0.2142142,0.5013193
0.2152152,0.4326034
0.2162162,0.59709793
0.2172172,0.42866266
0.21821822,0.3569273
0.21921922,0.60049736
0.22022022,0.4899242
0.22122122,0.56427765
0.22222222,0.4056165
0.22322322,0.52512765
0.22422422,0.43437594
0.22522523,0.5823453
0.22622623,0.65265405
0.22722723,0.5359815
0.22822823,0.7378568
